ticker,fecha,ret_1d,n_alcistas,sobre_sma200,golden_cross,momentum_pos,dias_rec,bucket
SPY,2015-11-12,-1.395975711903441,1,False,False,True,6.0,Leve    (-1% a -3%)
SPY,2015-11-13,-1.1228211142704558,0,False,False,False,3.0,Leve    (-1% a -3%)
SPY,2015-12-02,-1.0204265937462487,1,True,False,False,138.0,Leve    (-1% a -3%)
SPY,2015-12-03,-1.4003087330594077,1,True,False,False,1.0,Leve    (-1% a -3%)
SPY,2015-12-11,-1.938108414324058,1,False,True,False,5.0,Leve    (-1% a -3%)
SPY,2015-12-17,-1.523806439726949,1,False,True,False,12.0,Leve    (-1% a -3%)
SPY,2015-12-18,-1.7815104720287356,1,False,True,False,5.0,Leve    (-1% a -3%)
SPY,2015-12-31,-1.0003105178722715,1,False,True,False,89.0,Leve    (-1% a -3%)
SPY,2016-01-04,-1.397972683482196,1,False,True,False,73.0,Leve    (-1% a -3%)
SPY,2016-01-06,-1.2614251118669095,1,False,True,False,65.0,Leve    (-1% a -3%)
SPY,2016-01-07,-2.399176253810109,1,False,True,False,55.0,Leve    (-1% a -3%)
SPY,2016-01-08,-1.097637628855741,1,False,True,False,45.0,Leve    (-1% a -3%)
SPY,2016-01-13,-2.4940648656307296,1,False,True,False,16.0,Leve    (-1% a -3%)
SPY,2016-01-15,-2.1466278646506187,0,False,False,False,14.0,Leve    (-1% a -3%)
SPY,2016-01-20,-1.2815051685020395,0,False,False,False,2.0,Leve    (-1% a -3%)
SPY,2016-01-25,-1.5116438691265888,0,False,False,False,4.0,Leve    (-1% a -3%)
SPY,2016-01-27,-1.0883296111697471,0,False,False,False,2.0,Leve    (-1% a -3%)
SPY,2016-02-02,-1.802203697628535,0,False,False,False,20.0,Leve    (-1% a -3%)
SPY,2016-02-05,-1.9049923073122699,0,False,False,False,12.0,Leve    (-1% a -3%)
SPY,2016-02-08,-1.3461199934825085,0,False,False,False,8.0,Leve    (-1% a -3%)
SPY,2016-02-11,-1.3007939304554461,0,False,False,False,1.0,Leve    (-1% a -3%)
SPY,2016-02-23,-1.262957613757576,1,False,False,True,2.0,Leve    (-1% a -3%)
SPY,2016-03-08,-1.0917798314837412,1,False,False,True,3.0,Leve    (-1% a -3%)
SPY,2016-04-07,-1.1965376848700804,2,True,False,True,6.0,Leve    (-1% a -3%)
SPY,2016-06-27,-1.791021333870857,1,False,True,False,2.0,Leve    (-1% a -3%)
SPY,2016-09-09,-2.3934766752824355,2,True,True,False,67.0,Leve    (-1% a -3%)
SPY,2016-09-13,-1.4375276091729172,2,True,True,False,8.0,Leve    (-1% a -3%)
SPY,2016-10-11,-1.2629491036540763,3,True,True,True,29.0,Leve    (-1% a -3%)
SPY,2017-03-21,-1.2839668957422723,2,True,True,False,34.0,Leve    (-1% a -3%)
SPY,2017-05-17,-1.7744083474527272,3,True,True,True,7.0,Leve    (-1% a -3%)
SPY,2017-08-10,-1.411547006950853,2,True,True,False,21.0,Leve    (-1% a -3%)
SPY,2017-08-17,-1.5590946083497648,2,True,True,False,14.0,Leve    (-1% a -3%)
SPY,2018-01-30,-1.0256934696960096,3,True,True,True,176.0,Leve    (-1% a -3%)
SPY,2018-02-02,-2.176973869227372,3,True,True,True,160.0,Leve    (-1% a -3%)
SPY,2018-02-27,-1.248681107200722,2,True,True,False,10.0,Leve    (-1% a -3%)
SPY,2018-02-28,-1.0129683432429926,2,True,True,False,9.0,Leve    (-1% a -3%)
SPY,2018-03-01,-1.4540793573465827,2,True,True,False,4.0,Leve    (-1% a -3%)
SPY,2018-03-19,-1.3530318493575555,2,True,True,False,77.0,Leve    (-1% a -3%)
SPY,2018-03-22,-2.4997056906654325,2,True,True,False,49.0,Leve    (-1% a -3%)
SPY,2018-03-23,-2.1314725288808734,2,True,True,False,3.0,Leve    (-1% a -3%)
SPY,2018-03-27,-1.701173839856751,2,True,True,False,9.0,Leve    (-1% a -3%)
SPY,2018-04-02,-2.1584463181037683,2,True,True,False,2.0,Leve    (-1% a -3%)
SPY,2018-04-06,-2.228590428235755,2,True,True,False,6.0,Leve    (-1% a -3%)
SPY,2018-04-24,-1.3467222137436896,2,True,True,False,13.0,Leve    (-1% a -3%)
SPY,2018-05-29,-1.1500967801832185,3,True,True,True,1.0,Leve    (-1% a -3%)
SPY,2018-06-25,-1.3612417916529673,3,True,True,True,11.0,Leve    (-1% a -3%)
SPY,2018-10-11,-2.2026822515170297,1,False,True,False,5.0,Leve    (-1% a -3%)
SPY,2018-10-18,-1.4440981800790342,2,True,True,False,20.0,Leve    (-1% a -3%)
SPY,2018-10-26,-1.7587677782019084,1,False,True,False,5.0,Leve    (-1% a -3%)
SPY,2018-11-12,-1.86854097260587,1,False,True,False,21.0,Leve    (-1% a -3%)
SPY,2018-11-19,-1.6914733377591529,1,False,True,False,9.0,Leve    (-1% a -3%)
SPY,2018-11-20,-1.8505861915249389,1,False,True,False,8.0,Leve    (-1% a -3%)
SPY,2018-12-07,-2.3236226748879707,1,False,True,False,55.0,Leve    (-1% a -3%)
SPY,2018-12-14,-1.8465084142817112,0,False,False,False,35.0,Leve    (-1% a -3%)
SPY,2018-12-17,-1.9618150777755416,0,False,False,False,25.0,Leve    (-1% a -3%)
SPY,2018-12-19,-1.4975853858674615,0,False,False,False,19.0,Leve    (-1% a -3%)
SPY,2018-12-20,-1.6277957564358125,0,False,False,False,11.0,Leve    (-1% a -3%)
SPY,2018-12-21,-2.048956360661225,0,False,False,False,5.0,Leve    (-1% a -3%)
SPY,2018-12-24,-2.642301585203799,0,False,False,False,2.0,Leve    (-1% a -3%)
SPY,2019-01-03,-2.3862800555356056,0,False,False,False,1.0,Leve    (-1% a -3%)
SPY,2019-01-22,-1.3510353514387674,1,False,False,True,8.0,Leve    (-1% a -3%)
SPY,2019-03-22,-1.9245650149423588,2,True,False,True,10.0,Leve    (-1% a -3%)
SPY,2019-05-07,-1.669992686815358,2,True,True,False,43.0,Leve    (-1% a -3%)
SPY,2019-05-13,-2.5130254307572875,2,True,True,False,28.0,Leve    (-1% a -3%)
SPY,2019-05-23,-1.2219011256375367,2,True,True,False,15.0,Leve    (-1% a -3%)
SPY,2019-05-31,-1.3475365802401273,1,False,True,False,4.0,Leve    (-1% a -3%)
SPY,2019-07-31,-1.0940563155931948,3,True,True,True,43.0,Leve    (-1% a -3%)
SPY,2019-08-12,-1.2173724976946687,2,True,True,False,1.0,Leve    (-1% a -3%)
SPY,2019-08-14,-2.956781221527749,2,True,True,False,15.0,Leve    (-1% a -3%)
SPY,2019-08-23,-2.5687148298433216,2,True,True,False,6.0,Leve    (-1% a -3%)
SPY,2019-10-01,-1.1894673415144164,3,True,True,True,14.0,Leve    (-1% a -3%)
SPY,2019-10-02,-1.766474468596524,2,True,True,False,2.0,Leve    (-1% a -3%)
SPY,2019-10-08,-1.5524824071777132,2,True,True,False,2.0,Leve    (-1% a -3%)
