ticker,fecha,tipo_activo,ret_1d,zscore,vol_ratio,rsi_14,dias_consec,n_alcistas,magnitud,dias_rec,recup_5d,ret_5d,recup_10d,ret_10d,recup_20d,ret_20d,recup_60d,ret_60d,bucket_vol,bucket_rsi,bucket_streak,tipo_x_mag
NVDA,2018-10-05,ACCION,-3.376,-2.062,1.205,47.4,1,2,Moderada (-3% a -5%),497.0,0.0,-8.64,0.0,-15.08,0.0,-20.36,0.0,-52.52,Normal (0.8-1.5x),Neutral (30-70),1-2 días bajando,ACCION | Moderada (-3% a -5%)
NVDA,2018-10-10,ACCION,-7.475,-3.815,1.811,32.0,4,1,Fuerte (-5% a -10%),489.0,0.0,-1.07,0.0,-18.84,0.0,-12.98,0.0,-43.03,Alto (1.5-2.5x),Neutral (30-70),3-4 días bajando,ACCION | Fuerte (-5% a -10%)
NVDA,2018-10-11,ACCION,-4.298,-2.077,1.817,27.6,5,1,Moderada (-3% a -5%),1.0,0.0,1.87,0.0,-11.61,0.0,-12.39,0.0,-39.3,Alto (1.5-2.5x),Sobrevendido (<30),5+ días bajando,ACCION | Moderada (-3% a -5%)
NVDA,2018-10-15,ACCION,-4.527,-2.019,1.064,32.8,0,1,Moderada (-3% a -5%),455.0,0.0,-1.77,0.0,-21.14,0.0,-19.47,0.0,-36.71,Normal (0.8-1.5x),Neutral (30-70),0 — caída aislada,ACCION | Moderada (-3% a -5%)
NVDA,2018-10-24,ACCION,-9.794,-3.54,1.773,24.5,1,1,Fuerte (-5% a -10%),397.0,0.0,5.73,0.0,7.21,0.0,-27.43,0.0,-25.06,Alto (1.5-2.5x),Sobrevendido (<30),1-2 días bajando,ACCION | Fuerte (-5% a -10%)
NVDA,2018-10-29,ACCION,-6.39,-2.05,1.403,24.7,1,1,Fuerte (-5% a -10%),1.0,1.0,14.09,0.0,2.11,0.0,-17.18,0.0,-25.57,Normal (0.8-1.5x),Sobrevendido (<30),1-2 días bajando,ACCION | Fuerte (-5% a -10%)
NVDA,2018-11-12,ACCION,-7.843,-2.235,1.082,32.6,2,1,Fuerte (-5% a -10%),350.0,0.0,-23.66,0.0,-18.89,0.0,-21.36,0.0,-22.66,Normal (0.8-1.5x),Neutral (30-70),1-2 días bajando,ACCION | Fuerte (-5% a -10%)
NVDA,2018-11-16,ACCION,-18.756,-4.38,2.908,29.1,0,0,Extrema (>-10%),343.0,0.0,-6.92,0.0,3.52,0.0,-10.55,0.0,-4.22,Muy alto (>2.5x),Sobrevendido (<30),0 — caída aislada,ACCION | Extrema (>-10%)
NVDA,2018-11-19,ACCION,-11.999,-2.539,2.289,25.0,1,0,Extrema (>-10%),14.0,0.0,6.24,0.0,8.68,0.0,-4.18,0.0,8.36,Alto (1.5-2.5x),Sobrevendido (<30),1-2 días bajando,ACCION | Extrema (>-10%)
NVDA,2019-01-28,ACCION,-13.825,-2.729,3.35,42.3,0,1,Extrema (>-10%),42.0,0.0,8.09,0.0,6.12,0.0,13.83,1.0,38.66,Muy alto (>2.5x),Neutral (30-70),0 — caída aislada,ACCION | Extrema (>-10%)
