ticker,ret,dias,bucket,recuperado
SPY,-1.3475365802401273,4.0,Leve (-1% a -3%),True
SPY,-1.0940563155931948,43.0,Leve (-1% a -3%),True
SPY,-1.2173724976946687,1.0,Leve (-1% a -3%),True
SPY,-2.956781221527749,15.0,Leve (-1% a -3%),True
SPY,-2.5687148298433216,6.0,Leve (-1% a -3%),True
SPY,-1.1894673415144164,14.0,Leve (-1% a -3%),True
SPY,-1.766474468596524,2.0,Leve (-1% a -3%),True
SPY,-1.5524824071777132,2.0,Leve (-1% a -3%),True
SPY,-1.6029557057581467,8.0,Leve (-1% a -3%),True
SPY,-1.815800269020329,4.0,Leve (-1% a -3%),True
SPY,-1.029843461727098,167.0,Leve (-1% a -3%),True
SPY,-2.8632361890125635,1.0,Leve (-1% a -3%),True
SPY,-1.6531187030084715,82.0,Leve (-1% a -3%),True
SPY,-2.5568298568365844,1.0,Leve (-1% a -3%),True
SPY,-2.9785516476592,3.0,Leve (-1% a -3%),True
SPY,-1.4905121299972568,6.0,Leve (-1% a -3%),True
SPY,-1.4454225334660786,3.0,Leve (-1% a -3%),True
SPY,-2.124797332292472,2.0,Leve (-1% a -3%),True
SPY,-1.761795135056199,7.0,Leve (-1% a -3%),True
SPY,-2.6473462256458746,7.0,Leve (-1% a -3%),True
SPY,-1.9931704278547513,6.0,Leve (-1% a -3%),True
SPY,-1.7686002229240216,5.0,Leve (-1% a -3%),True
SPY,-1.0271158864817553,1.0,Leve (-1% a -3%),True
SPY,-2.5508618732359545,8.0,Leve (-1% a -3%),True
SPY,-2.375146553752261,4.0,Leve (-1% a -3%),True
SPY,-1.0313810463651651,3.0,Leve (-1% a -3%),True
SPY,-1.1931774690411623,11.0,Leve (-1% a -3%),True
SPY,-2.7322671316631575,30.0,Leve (-1% a -3%),True
SPY,-1.7363527249785626,5.0,Leve (-1% a -3%),True
SPY,-1.1512775049852042,12.0,Leve (-1% a -3%),True
SPY,-1.1129384131553732,7.0,Leve (-1% a -3%),True
SPY,-2.3191195381966345,5.0,Leve (-1% a -3%),True
SPY,-1.4215916471776113,1.0,Leve (-1% a -3%),True
SPY,-1.5203733526707008,17.0,Leve (-1% a -3%),True
SPY,-1.8479785235186563,10.0,Leve (-1% a -3%),True
SPY,-1.0424898927302584,3.0,Leve (-1% a -3%),True
SPY,-1.2034619300183902,6.0,Leve (-1% a -3%),True
SPY,-1.3614109545268982,3.0,Leve (-1% a -3%),True
SPY,-2.4440518332422556,8.0,Leve (-1% a -3%),True
SPY,-2.001950575216027,4.0,Leve (-1% a -3%),True
SPY,-2.409562748722316,14.0,Leve (-1% a -3%),True
SPY,-1.3245423896503072,6.0,Leve (-1% a -3%),True
SPY,-1.2375247333903605,1.0,Leve (-1% a -3%),True
SPY,-1.4549916659889583,8.0,Leve (-1% a -3%),True
SPY,-2.124527709178148,2.0,Leve (-1% a -3%),True
SPY,-1.3490381996013823,3.0,Leve (-1% a -3%),True
SPY,-1.4767896556367788,2.0,Leve (-1% a -3%),True
SPY,-1.0944866378153728,5.0,Leve (-1% a -3%),True
SPY,-1.6674339055586018,3.0,Leve (-1% a -3%),True
SPY,-2.0151967901677947,17.0,Leve (-1% a -3%),True
SPY,-1.2222428327541057,6.0,Leve (-1% a -3%),True
SPY,-1.28960984683133,2.0,Leve (-1% a -3%),True
SPY,-2.230314784158016,12.0,Leve (-1% a -3%),True
SPY,-1.9457609996626823,7.0,Leve (-1% a -3%),True
SPY,-1.11072141521672,1.0,Leve (-1% a -3%),True
SPY,-1.0643170424141313,5.0,Leve (-1% a -3%),True
SPY,-1.0633183827658543,1.0,Leve (-1% a -3%),True
SPY,-1.920212520661213,707.0,Leve (-1% a -3%),True
SPY,-1.3778475973774906,687.0,Leve (-1% a -3%),True
SPY,-1.770954248190848,546.0,Leve (-1% a -3%),True
SPY,-1.038358900699754,14.0,Leve (-1% a -3%),True
SPY,-1.1068055113113373,12.0,Leve (-1% a -3%),True
SPY,-1.9630740427783455,10.0,Leve (-1% a -3%),True
SPY,-1.2208909531499001,3.0,Leve (-1% a -3%),True
