Date,Close,High,Low,Open,Volume
2015-01-02,77.76709747314453,78.24292244826492,77.02362614906865,77.89597067629245,18177500
2015-01-05,76.51805114746094,78.56011609844697,76.19092203502743,77.30117497890204,26452200
2015-01-06,75.48711395263672,76.91457357558359,74.70399001385606,76.55771434208222,27399300
2015-01-07,75.48711395263672,76.68657996631937,75.15998479536496,76.09180449317647,22045300
2015-01-08,77.49942779541016,77.54899556062028,75.41771022722993,76.0719608627247,23961000
2015-01-09,77.06326293945312,77.93560728645224,76.52796278915272,77.51925768312091,21157000
2015-01-12,76.05213165283203,77.3209876764198,75.54656923115994,77.1623768919821,19190200
2015-01-13,75.78449249267578,77.40030802878574,75.18971706203146,76.5577088717913,25179600
2015-01-14,75.61597442626953,76.52796392716691,75.3681506990922,75.75475510845044,25918600
2015-01-15,73.40538787841797,75.90344761390922,72.89982537894511,75.73492930174481,34134000
2015-01-16,74.52555847167969,74.66433916677002,73.19721923769703,73.39548277566942,21791500
2015-01-20,75.5763168334961,75.64570717009784,74.16867996930102,75.06084684202307,22821600
2015-01-21,76.07196807861328,76.62709836230351,75.18971622763577,75.49702278772602,25096700
2015-01-22,76.97405242919922,77.07318040909078,76.01249514199291,76.49822753754762,19519500
2015-01-23,77.15248107910156,77.5093478351747,76.36935722899551,76.974047701065,16746500
2015-01-26,76.82535552978516,77.78691280262184,76.61718450622979,77.30118041432598,19260800
2015-01-27,75.12033081054688,76.2107537532515,74.97163505404616,76.04223542527485,20110000
2015-01-28,75.5763168334961,76.96413112851045,75.33840818843004,76.23057506115208,53306400
2015-01-29,77.32099151611328,77.34081408366313,73.56398345668313,76.18100102603636,61293500
2015-01-30,75.24920654296875,77.4796202770441,75.09059571387047,77.32100944794584,42649500
2015-02-02,74.33720397949219,75.47719465079864,73.10800039556057,75.44745701325691,41955300
2015-02-03,74.7436294555664,74.9220628221404,73.21703455553974,74.53545845505992,26957700
2015-02-04,74.97163391113281,75.68536748107134,74.3570358860037,74.43633373367891,20277400
2015-02-05,74.9518051147461,75.31858693632884,74.55528565738251,75.05093308834209,15062600
2015-02-06,73.82173156738281,75.04102004514603,73.6036454818044,75.02119747508426,21211000
2015-02-09,73.79199981689453,74.17860424926513,72.81061235351031,73.40539538452393,16194300
2015-02-10,74.53548431396484,74.68417253521226,73.85148824429972,74.19844003217995,15811300
2015-02-11,75.8439712524414,76.08187989931314,74.37685154361012,74.43632681458317,20877400
2015-02-12,75.56639862060547,76.20082662618576,75.2293544884656,76.19091156151089,17235000
2015-02-13,75.08067321777344,75.81423688530275,74.84276456064548,75.79440675213716,18621900
2015-02-17,74.94189453125,76.24049602086794,74.42642449992947,74.64451059267356,25254400
2015-02-18,76.0422134399414,76.230561847919,74.79318003462862,75.2789198696258,22426400
2015-02-19,78.7286376953125,79.1449797305421,76.28013812725594,76.31979083008443,45851200
2015-02-20,79.20446014404297,79.64062473585815,78.51054921023507,78.85750845862877,36931700
2015-02-23,78.15369415283203,79.49194845292652,77.69769936048853,79.26394727526446,24139100
2015-02-24,77.76709747314453,78.7881377777798,77.42014570117207,77.81666525327549,18897100
2015-02-25,78.86741638183594,79.5018444851092,77.81664625384826,77.81664625384826,25593800
