Date,Close,High,Low,Open,Volume
2021-10-06,345.44842529296875,346.7837497466211,337.0893083400726,340.4009140718203,2111800
2021-10-07,347.73638916015625,354.17266468470984,346.9708159569892,349.7749926943101,2348000
2021-10-08,349.6859130859375,351.021237728612,345.5642066754556,347.92327477739735,1446700
2021-10-11,342.9469909667969,353.37144559632355,342.7511422528478,349.7660525214315,1787400
2021-10-12,344.0953369140625,345.92918048689006,339.1902359576291,343.81937200912955,2088200
2021-10-13,343.8995056152344,345.7422601385904,337.0626499785143,345.4039735496942,2391600
2021-10-14,348.252685546875,350.44261040352336,340.240737509759,348.96484783882977,3380900
2021-10-15,361.4902038574219,362.5584473073727,352.8283879351876,358.1429812796252,6451400
2021-10-18,368.2736511230469,370.27663816681576,362.8522361179825,363.21722812825044,3832300
2021-10-19,366.91156005859375,370.1964604379773,364.71272467140807,369.6000035526756,2568300
2021-10-20,363.1103820800781,368.8433507281626,361.60591418388753,365.8789420563321,2453400
2021-10-21,362.84332275390625,367.3567267148345,360.1993787877013,362.14004414545434,2162100
2021-10-22,368.83447265625,369.7602781701248,364.1875418697374,364.9798203544235,2411000
2021-10-25,369.2172546386719,373.43687171245136,367.8997245766896,370.51696298548285,1824700
2021-10-26,371.76324462890625,373.7217315066101,368.33593334379583,370.6593850254264,1843300
2021-10-27,365.87005615234375,372.16389307823647,365.4783587344756,370.8196575229502,2067200
2021-10-28,369.2795715332031,369.36859860616227,364.1519164039398,366.7691547788973,1444700
2021-10-29,367.97100830078125,370.2944604050113,366.03922647608306,368.5674381625308,2061700
2021-11-01,370.9531555175781,372.7602935804944,367.88189831267897,371.28253121286514,1820800
2021-11-02,377.3182373046875,379.3746350737933,367.47244581404505,369.52884358315083,3000800
2021-11-03,372.02142333984375,377.4517487434228,367.2676710850789,376.6683539747428,3542400
2021-11-04,363.2706604003906,370.321159997256,358.7839615504977,369.12827312524223,3802300
2021-11-05,362.3893127441406,368.9502310225814,361.5169179807347,366.235054458086,2105600
2021-11-08,363.510986328125,368.2380335613995,363.17269972627474,364.89083814265877,1728400
2021-11-09,360.8492736816406,362.8344391444658,356.1400206596553,361.525819766608,2246900
2021-11-10,355.30316162109375,361.0272464949542,353.63846131672125,358.16074862930935,2243900
2021-11-11,358.1696472167969,359.43376640227206,354.7601305097345,356.21118752408194,1252400
2021-11-12,360.4574890136719,360.6266322857974,355.37436149503316,358.75717260305197,1360100
2021-11-15,360.3685302734375,362.6207768760102,359.56734087671515,361.4278900556012,1436500
2021-11-16,358.83734130859375,361.28543651701824,355.19635933140694,359.5673253090639,1311000
2021-11-17,348.56427001953125,358.4456788952992,348.4930646510155,357.73351654113225,2927000
2021-11-18,348.40399169921875,350.67405984288064,343.3386581578198,349.2318864395813,1847400
2021-11-19,344.8609313964844,347.3980263082249,339.2080520335016,340.4009387050184,2610400
2021-11-22,352.6681213378906,358.3031790213993,347.34461765091305,349.99747222078275,3058700
2021-11-23,361.73052978515625,362.2824596080279,353.86993090351075,356.3091151532011,2402300
2021-11-24,355.3655090332031,362.74541105589515,354.57320334755303,360.5376644661148,2186300
2021-11-26,346.6413879394531,348.7066694053051,340.7036324110991,342.2704220179,2687900
2021-11-29,344.1043395996094,352.85515701293644,340.46335688707575,350.7453479721491,2883400
2021-11-30,339.16357421875,344.3624352968715,335.84308407471985,341.42473172609533,4570400
2021-12-01,336.9173889160156,349.15981156320845,336.67574454507877,343.48605744727803,2476000
2021-12-02,346.81512451171875,348.20223086863,336.5146513167464,338.2776337278055,3343700
2021-12-03,342.51055908203125,348.90919085017197,339.19936525541,348.90919085017197,2807500
2021-12-06,348.39013671875,352.2382847127881,343.1906866616117,347.82636363342937,1990200
2021-12-07,358.0641174316406,359.5317898696373,351.75498307005967,352.2203286352072,2441000
2021-12-08,355.5672912597656,359.4959501173833,353.6163849967917,359.06640881066585,1635200
2021-12-09,354.8246154785156,358.1358098111887,351.70137284077873,354.11765273874244,2111500
2021-12-10,349.9651794433594,356.9454999687624,347.8173906132828,356.17588678982014,1893800
2021-12-13,344.2199401855469,350.0816194712356,342.4479995727026,350.0816194712356,2313300
2021-12-14,347.9605407714844,351.2538184253583,342.98482007621885,343.2532834080947,2788500
2021-12-15,348.9360656738281,350.2694793472198,340.604415064669,348.5691475044439,2802300
2021-12-16,355.61212158203125,357.82256118541756,350.62744194810784,353.6075221171567,3578200
2021-12-17,341.6782531738281,352.3009083694446,340.63121878470656,348.3095711105225,7058600
2021-12-20,332.5590515136719,336.15662406305904,328.1202847451842,336.05816929990664,3735600
2021-12-21,340.3537902832031,341.9377786560506,335.3780692940638,336.87256078079565,2942800
2021-12-22,342.1525573730469,343.656034087514,339.4141219193835,340.4432951679708,1487900
2021-12-23,344.5777587890625,346.87766744405826,343.26223387007747,343.4591160794022,1624000
2021-12-27,347.26251220703125,348.2200496405309,344.54196540465637,346.32283591501385,1430400
2021-12-28,346.8776550292969,350.20673670652263,345.6516270330868,348.0589482429668,1528200
2021-12-29,345.61590576171875,348.53330774246785,344.0229594361975,347.19989420504527,1327800
2021-12-30,345.00732421875,348.8196675790625,344.7209724211335,347.00299278405544,1160100
2021-12-31,342.3494567871094,346.3318363724869,340.81916097104096,344.5420077607428,1601300
2022-01-03,353.786376953125,357.33918700062515,346.6360220776451,348.1215827517511,3334300
2022-01-04,364.6597595214844,367.165509123227,359.0217819516299,359.9614585352502,3916400
2022-01-05,356.73968505859375,369.2953313586513,356.07745722846596,366.7358623073446,3469600
2022-01-06,355.2183532714844,359.0396550987984,345.82175241447345,358.86066130108384,2960900
2022-01-07,355.7374267578125,358.45794683096784,353.0705720524142,355.8806163370238,2360700
2022-01-10,357.22296142578125,361.87649950724983,352.79312461387957,359.1470217532451,3009400
2022-01-11,360.69525146484375,360.95478429750887,354.6635369230057,358.18950197552203,1748800
2022-01-12,349.29400634765625,361.6527709323846,347.7279062863412,360.8652419604245,4158000
2022-01-13,349.7324523925781,355.1645880472613,348.7928034230603,352.6409234923214,2497800
2022-01-14,340.90869140625,343.99615698953573,335.59289772149197,341.97364171986914,4685300
2022-01-18,317.1575927734375,323.57413972055076,310.7410731369387,322.2049220621277,13123500
2022-01-19,310.8216857910156,321.9096613561051,309.9894219272475,320.6836329590362,7426100
2022-01-20,311.5196228027344,319.6454313130765,309.76559870598976,312.2355432024551,4599900
2022-01-21,307.76995849609375,312.3161108029717,304.9151798954729,309.22867307197015,4904100
2022-01-24,307.3045959472656,307.91313104020355,291.9478652128645,301.8724602747251,6569800
2022-01-25,305.657958984375,306.8929450506741,296.13608532225106,302.35572313252874,3959300
2022-01-26,306.66925048828125,313.6495989772969,302.8479759510926,310.17732684371845,3745900
2022-01-27,305.19268798828125,312.119317414101,302.2305232058346,309.3451043385452,2573400
2022-01-28,310.544189453125,310.66946324128855,298.4091549229568,302.2393866579861,3714600
2022-01-31,317.408203125,317.88250662017583,307.3493749500012,308.38747883409917,3312400
