Date,Close,High,Low,Open,Volume
2015-01-02,76.11089324951172,76.86093831587296,75.82689781451114,76.49684103452005,5753600
2015-01-05,75.5793228149414,76.26382755855056,75.49922095959633,76.08177889743614,8079300
2015-01-06,75.20793151855469,76.45314352050903,74.9603480406416,75.97981595638191,7428000
2015-01-07,76.86822509765625,77.06484076337125,75.59388446643153,75.66670837562035,7931700
2015-01-08,77.47261810302734,77.54543644724122,77.00657403323831,77.23231256700637,9916000
2015-01-09,76.41673278808594,77.55271443294711,76.27837405494094,77.55271443294711,7364800
2015-01-12,76.15457916259766,77.05753875166363,75.95068559948756,76.58421123405351,6839000
2015-01-13,76.2856674194336,77.42893271272965,75.90700311839575,76.78083996685581,10151100
2015-01-14,75.73223114013672,76.04535501034732,75.3754173759332,75.63028435036429,8887700
2015-01-15,74.63268280029297,75.68128508033178,74.23945694527842,74.98221874553437,10834800
2015-01-16,75.7613754272461,76.18372967642283,74.27585760839602,74.3195475115231,14092300
2015-01-20,73.75885009765625,74.31227968728446,73.00881036149033,73.94818229647109,20460000
2015-01-21,74.20304107666016,74.34867779445601,73.11074902613724,73.227257289237,11702900
2015-01-22,75.5574722290039,75.60844562808668,73.96272429876822,74.55984364045952,9036600
2015-01-23,74.42147827148438,74.98219116720905,74.23215169497777,74.96034622035701,10126000
2015-01-26,74.4651870727539,74.60354027951854,73.7005804617356,74.1302181977003,8962800
2015-01-27,74.34140014648438,74.83657280394524,73.49669711651293,74.15207350957661,10160500
2015-01-28,73.89720916748047,74.95308938261589,73.86808070942142,74.62540395190084,9053200
2015-01-29,74.55255889892578,74.61081579853249,73.30734683717218,73.91903317167505,7569300
2015-01-30,72.92141723632812,74.27585983063567,72.88500527884315,73.97001938822679,10676300
2015-02-02,73.42384338378906,73.43840482742733,72.3679581603358,73.17625439647911,8990700
2015-02-03,74.61083221435547,74.68365057704342,73.63505393182999,73.83894756963025,10005200
2015-02-04,73.80980682373047,74.6035362895338,73.56221776499424,74.36323628824316,9514100
2015-02-05,74.61083221435547,74.68365057704342,73.88263747610603,73.96273934176826,6642200
2015-02-06,73.6204605102539,74.60352194302311,73.42385044597324,74.35593848758207,9215700
2015-02-09,72.65924835205078,73.59133644919505,72.16407585598247,73.59133644919505,9851700
2015-02-10,73.07432556152344,73.32919255537354,72.40438787606494,72.95781731677073,12275500
2015-02-11,73.09619903564453,73.3947615990129,72.78307501938096,73.15445595859728,8177000
2015-02-12,71.6834945678711,73.21270246586764,70.7441226527211,73.18357400853525,25835200
2015-02-13,72.54277038574219,72.57917679354027,71.60339839585627,71.68350027097189,11153600
2015-02-17,73.13985443115234,73.16898287666875,72.17863795184242,72.37524801447455,8627100
2015-02-18,72.79032135009766,73.50395440260587,72.36796720791286,73.32918372300195,7878200
2015-02-19,73.32920837402344,73.43115519355555,72.53547877113988,72.78306231695072,10028200
2015-02-20,73.51985931396484,73.60052188353579,72.67657237408847,73.46119460980887,10085700
2015-02-23,73.46119689941406,73.893836518257,73.1825479378495,73.87183865215641,6878200
2015-02-24,73.8425064086914,74.09916309911036,73.32920421700211,73.51252722754461,6587200
2015-02-25,74.21647644042969,74.27514113822014,73.4465232615808,74.01849007860383,9684000
2015-02-26,75.38241577148438,75.6610647024066,74.22381313128498,74.34113693577774,11437900
2015-02-27,75.16979217529297,75.77109161299882,75.14779430232188,75.55843618331825,8500000
2015-03-02,75.69041442871094,75.82974172344478,75.16977768861989,75.16977768861989,7277600
